央视,#genre#
CCTV3,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225647/index.m3u8
CCTV3,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225634/index.m3u8

CCTV4,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225621/index.m3u8

CCTV5,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225767/index.m3u8
CCTV5,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225622/index.m3u8
CCTV5,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225767/index.m3u8
CCTV5,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225648/index.m3u8
CCTV5,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225622/index.m3u8
CCTV5,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225648/index.m3u8
CCTV5,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225767/index.m3u8

CCTV5+,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225706/index.m3u8
CCTV5+,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225706/index.m3u8
CCTV5+,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225706/index.m3u8
CCTV5+,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225649/index.m3u8

CCTV6,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225632/index.m3u8
CCTV6,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225632/index.m3u8
CCTV6,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225650/index.m3u8
CCTV6,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225650/index.m3u8
CCTV6,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225650/index.m3u8
CCTV6,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225632/index.m3u8

CCTV7,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225624/index.m3u8
CCTV7,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225644/index.m3u8
CCTV7,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225499/index.m3u8?fmt=ts2hls
CCTV7,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225644/index.m3u8
CCTV7,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225624/index.m3u8
CCTV7,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225644/index.m3u8
CCTV7,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225624/index.m3u8

CCTV8,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225631/index.m3u8
CCTV8,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225631/index.m3u8
CCTV8,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225635/index.m3u8
CCTV8,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225635/index.m3u8
CCTV8,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225635/index.m3u8
CCTV8,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225631/index.m3u8

CCTV9,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225626/index.m3u8
CCTV9,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225646/index.m3u8
CCTV9,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225626/index.m3u8
CCTV9,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225626/index.m3u8
CCTV9,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225646/index.m3u8
CCTV9,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225646/index.m3u8

CCTV10,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225627/index.m3u8
CCTV10,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225636/index.m3u8
CCTV10,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225636/index.m3u8
CCTV10,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225496/index.m3u8?fmt=ts2hls
CCTV10,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225627/index.m3u8
CCTV10,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225627/index.m3u8
CCTV10,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225636/index.m3u8

